timestamp,q_w,q_x,q_y,q_z
1753485321104569,0.95644236,-0.23768695,0.047293313,0.16274653
1753485321118240,0.95644283,-0.23769052,0.047289703,0.16273949
1753485321124498,0.9564433,-0.23769403,0.04728143,0.16273353
1753485321134630,0.9564472,-0.23768272,0.047279634,0.16272826
1753485321144427,0.9564496,-0.2376719,0.04728375,0.16272809
1753485321154459,0.95645154,-0.23766539,0.047290593,0.16272451
1753485321164395,0.95645046,-0.237669,0.047301024,0.16272302
1753485321174323,0.9564509,-0.2376714,0.047305305,0.16271545
1753485321184328,0.95645165,-0.23767404,0.04730534,0.16270685
1753485321194285,0.95645374,-0.23767285,0.047298953,0.16269808
1753485321204248,0.9564553,-0.23766598,0.047303434,0.16269815
1753485321214217,0.9564549,-0.23766392,0.047312617,0.16270049
1753485321224185,0.95645577,-0.23765732,0.04733161,0.16269942
1753485321234158,0.95645773,-0.23765334,0.04733731,0.16269206
1753485321244133,0.9564594,-0.23765188,0.04733507,0.16268508
1753485321254083,0.9564612,-0.23765326,0.04733053,0.16267414
1753485321264062,0.9564622,-0.2376594,0.047319647,0.16266225
1753485321274062,0.9564637,-0.23765777,0.047311503,0.16265802
1753485321288988,0.95646447,-0.23765725,0.0473125,0.16265377
1753485321294007,0.95646447,-0.2376581,0.04731454,0.16265188
1753485321307652,0.9564634,-0.23766322,0.04732095,0.16264948
1753485321313891,0.9564643,-0.23766544,0.04732381,0.16264011
1753485321327563,0.95646536,-0.23767105,0.04731445,0.1626287
1753485321333872,0.9564655,-0.23767497,0.04730611,0.16262397
1753485321343859,0.95646703,-0.23767325,0.047298748,0.16261962
1753485321353761,0.9564659,-0.23767684,0.04730167,0.16262002
1753485321363721,0.9564649,-0.23767883,0.047310784,0.16262046
1753485321373724,0.9564646,-0.23767988,0.04731357,0.1626201
1753485321383674,0.95646566,-0.23768029,0.047313258,0.1626127
1753485321393652,0.9564672,-0.23767772,0.047305707,0.16260982
1753485321403599,0.9564686,-0.2376753,0.047305208,0.1626056
1753485321413625,0.956471,-0.23766614,0.04730061,0.16260588
1753485321423539,0.95647067,-0.23766467,0.047308583,0.16260788
1753485321433548,0.95647043,-0.23766227,0.04731953,0.16260988
1753485321443514,0.9564702,-0.23766313,0.0473247,0.16260855
1753485321453458,0.95647085,-0.23766407,0.04732682,0.16260237
1753485321463409,0.95647246,-0.23766476,0.047321685,0.16259328
1753485321473397,0.9564739,-0.23766714,0.04731756,0.16258277
1753485321483347,0.9564756,-0.23766157,0.04732369,0.16257888
1753485321497037,0.9564751,-0.23765944,0.047332343,0.16258247
1753485321503276,0.956474,-0.23766002,0.047341738,0.16258545
1753485321513341,0.95647347,-0.23766235,0.04735065,0.16258246
1753485321523240,0.9564735,-0.23766744,0.047344677,0.16257638
1753485321533248,0.9564753,-0.23766889,0.047339596,0.1625655
1753485321548144,0.9564759,-0.23767278,0.04732952,0.16255906
1753485321558122,0.9564767,-0.23767255,0.047330324,0.16255409
1753485321568104,0.95647633,-0.23767486,0.047333937,0.16255234
1753485321578054,0.956474,-0.23768544,0.047340266,0.16254917
1753485321588010,0.9564736,-0.23769064,0.047338437,0.1625438
1753485321601719,0.95647407,-0.23769337,0.04733243,0.16253921
1753485321607980,0.9564764,-0.23769246,0.04732541,0.16252874
1753485321617976,0.95647705,-0.23769253,0.0473193,0.16252641
1753485321627859,0.95647734,-0.23769504,0.04731518,0.16252224
1753485321637924,0.9564774,-0.23769583,0.047320757,0.16251881
1753485321647860,0.95647764,-0.23769611,0.047324553,0.16251633
1753485321657769,0.95647705,-0.23770158,0.047328208,0.16251075
1753485321667738,0.9564786,-0.23769861,0.047325462,0.16250683
1753485321677755,0.95647985,-0.23769797,0.047324758,0.16250063
1753485321686426,0.9564793,-0.2376999,0.04732414,0.16250108
1753485321697640,0.9564794,-0.2377011,0.047324646,0.16249879
1753485321706352,0.95647895,-0.23770244,0.047330596,0.16249765
1753485321717582,0.95647794,-0.23770364,0.047333505,0.1625006
1753485321727560,0.9564782,-0.23770374,0.047332812,0.16249932
1753485321737524,0.95647985,-0.23770094,0.04733083,0.16249485
1753485321747495,0.9564806,-0.23769616,0.04733039,0.16249694
1753485321757444,0.9564819,-0.2376926,0.047331322,0.16249505
1753485321762447,0.95648235,-0.23769148,0.04733262,0.16249272
